Country/Region,ObservationDate,Province/State,Confirmed,Deaths,Recovered
Germany,7/16/2020,Unknown,1065,0,541
India,7/16/2020,Unknown,531,0,0
Japan,7/16/2020,Unknown,8,0,8
Peru,7/16/2020,Unknown,0,0,230994
Spain,7/16/2020,Unknown,0,0,0
UK,7/16/2020,Unknown,0,0,0
Sweden,7/16/2020,Uppsala,3490,238,0
US,7/16/2020,Utah,31845,234,0
India,7/16/2020,Uttar Pradesh,43441,1046,26675
India,7/16/2020,Uttarakhand,3982,50,2995
Italy,7/16/2020,Valle d'Aosta,1196,146,1048
Colombia,7/16/2020,Valle del Cauca,15716,642,7476
Chile,7/16/2020,Valparaiso,15068,363,13097
Sweden,7/16/2020,Varmland,1006,71,0
Sweden,7/16/2020,Vasterbotten,805,31,0
Sweden,7/16/2020,Vasternorrland,1636,122,0
Sweden,7/16/2020,Vastmanland,2547,175,0
Sweden,7/16/2020,Vastra Gotaland,17126,798,0
Colombia,7/16/2020,Vaupes,61,1,22
Italy,7/16/2020,Veneto,19470,2047,16968
Mexico,7/16/2020,Veracruz,15376,2101,11747
US,7/16/2020,Vermont,1325,56,0
Colombia,7/16/2020,Vichada,1,0,1
Australia,7/16/2020,Victoria,5165,32,2669
Ukraine,7/16/2020,Vinnytsia Oblast,2221,38,1673
US,7/16/2020,Virgin Islands,249,6,0
US,7/16/2020,Virginia,74431,2007,0
Russia,7/16/2020,Vladimir Oblast,5091,100,4255
Russia,7/16/2020,Volgograd Oblast,7785,51,4403
Russia,7/16/2020,Vologda Oblast,2002,19,1548
Ukraine,7/16/2020,Volyn Oblast,3147,74,1954
Russia,7/16/2020,Voronezh Oblast,9743,71,7014
Japan,7/16/2020,Wakayama,84,3,61
UK,7/16/2020,Wales,16871,1545,0
US,7/16/2020,Washington,44313,1427,0
India,7/16/2020,West Bengal,36117,1023,21415
US,7/16/2020,West Virginia,4657,99,0
Australia,7/16/2020,Western Australia,646,9,610
US,7/16/2020,Wisconsin,39627,831,0
US,7/16/2020,Wyoming,2026,24,0
Mainland China,7/16/2020,Xinjiang,77,3,73
Japan,7/16/2020,Yamagata,75,1,70
Japan,7/16/2020,Yamaguchi,41,0,37
Russia,7/16/2020,Yamalo-Nenets Autonomous Okrug,8759,59,3705
Japan,7/16/2020,Yamanashi,77,1,74
